epoch,loss_train,loss_val,dice_train,dice_val
1,0.6741006096204122,0.7219859957695007,0.2671533207098643,3.882189708592776e-11
2,0.6011276284853617,0.6345969438552856,0.3920463462670644,0.03123612073250115
3,0.5220925907293955,0.5240686684846878,0.4922235310077667,0.44014772772789
4,0.44467923045158386,0.4641379415988922,0.5581438064575195,0.5408875048160553
5,0.3881746272246043,0.399451307952404,0.5767374237378439,0.5652047097682953
6,0.34601359963417055,0.33761467784643173,0.6202340364456177,0.6149174571037292
7,0.32405590017636615,0.32486263662576675,0.6441651622454325,0.6371118426322937
8,0.30412817796071373,0.33744052052497864,0.66759139696757,0.6521457433700562
9,0.2858099718888601,0.29082535952329636,0.6893583019574483,0.6786057651042938
10,0.2694806903600693,0.28916386514902115,0.7086595733960469,0.6673890650272369
11,0.26257823208967845,0.27024347335100174,0.7168915867805481,0.6874995827674866
12,0.25439368188381195,0.25826336815953255,0.7220419843991598,0.7074059098958969
13,0.2525537560383479,0.2717074528336525,0.7282383600870769,0.6861286908388138
14,0.24377678334712982,0.2455722577869892,0.7406013091405232,0.7289259880781174
15,0.23286725382010143,0.2429986670613289,0.7519918998082479,0.7302129417657852
16,0.2322809636592865,0.23758883029222488,0.7516852577527364,0.7349586337804794
17,0.2220678279797236,0.23525258153676987,0.7616988102595011,0.7450203895568848
18,0.22083236873149872,0.23395394161343575,0.7653044899304707,0.7448896169662476
19,0.22458916604518891,0.23440410569310188,0.7574090878168742,0.737577348947525
20,0.21238252917925518,0.2262200303375721,0.7734716534614563,0.7511800676584244
21,0.20796982944011688,0.22628721222281456,0.7801861127217611,0.7507099211215973
22,0.2065150886774063,0.2259402945637703,0.7817581494649252,0.7431405633687973
23,0.2066001723210017,0.2240372970700264,0.7788247307141621,0.7591224908828735
24,0.19868415395418804,0.24340147525072098,0.7879230896631877,0.7151990234851837
25,0.20733027656873068,0.23914769664406776,0.7810568451881409,0.7282950580120087
26,0.19826806783676149,0.23179113864898682,0.7917768677075704,0.7342232912778854
27,0.19518373707930248,0.21970146894454956,0.7946938037872314,0.7562934756278992
28,0.196527765194575,0.21433746442198753,0.7919573744138082,0.7599793523550034
29,0.19027196268240612,0.21282051503658295,0.8008506417274475,0.7626692950725555
30,0.1867145150899887,0.21081755310297012,0.8035979231198629,0.769297331571579
31,0.18474647204081218,0.21061498671770096,0.807487404346466,0.7679982036352158
32,0.19009806911150615,0.2152838595211506,0.8016903003056844,0.7656029909849167
33,0.18342889746030172,0.21113233640789986,0.8087102611859639,0.7676001787185669
34,0.17908032834529877,0.20758384466171265,0.8126885493596395,0.7691288143396378
35,0.1772256145874659,0.20590684190392494,0.8154230395952861,0.7726110965013504
36,0.1802802970012029,0.20856615155935287,0.8123020609219869,0.7700438052415848
37,0.17676297922929127,0.20968511328101158,0.8157018184661865,0.7702278792858124
