model,dataset,best_score,eval_calls,time_sec,base_channels,attention_kernel_size,block_size,keep_prob,dropout_rate,activation,learning_rate
SDA-U-Lite,CHASE,0.7043390274047852,219,1050.53,48,7,5,0.9531122065992254,0.18013670618254354,relu,0.004739180259036503
SDA-W-Lite,CHASE,0.7153652409712473,220,4160.99,48,5,9,0.9675660642325409,0.0,relu,0.004237672833575617
SDA-U-Lite,DRIVE,0.7334616978963217,220,944.38,32,7,7,0.9465421270857086,0.07419053964831686,relu,0.004765782181892207
SDA-W-Lite,DRIVE,0.7356206079324087,219,2955.76,96,7,7,0.9510935340580996,0.1478246688388013,leaky_relu,0.0017973566668379763
SDA-U-Lite,HRF,0.18943029890457788,219,1775.19,16,9,9,0.98,0.06421190753098972,gelu,0.0005585867471548707
SDA-W-Lite,HRF,0.7447220683097839,220,3326.73,80,7,9,0.9780267071306953,0.12922510258972883,relu,0.0028227539584290513
SDA-U-Lite,STARE,0.7378068268299103,219,1018.88,48,5,7,0.8891413334604777,0.04136187413289617,gelu,0.0028904820854324356
SDA-W-Lite,STARE,0.7450682520866394,219,4112.32,96,9,9,0.9204167306503791,0.09818255799943501,gelu,0.002251359895761836
