Dice,IoU,SE,SP,ACC,F1,AUC,model_name,parameters
0.738334368575703,0.5860261700370095,0.6990139917893843,0.9830449440262534,0.9593325528231534,0.7383338971571489,0.950351756495968,U-Lite,226833
0.7381902011958036,0.5859569744630293,0.7035226280039008,0.9823208234526895,0.9591064453125,0.7381897351958535,0.9470982926969619,W-Lite,447393
0.7773018912835554,0.6371447443962097,0.7711720195683566,0.9813099557703192,0.9639559659090908,0.7773014036091891,0.9687688339017964,SDA-U-Lite,227715
0.7758217779072848,0.6348436908288435,0.7448600638996471,0.9848436984148892,0.9648062966086648,0.7758212956515226,0.9682683212444156,SDA-W-Lite,447687
0.7951828891580756,0.6611667708917097,0.7799237262118947,0.9843548319556497,0.9672296697443182,0.7951824014837091,0.9756537403907352,W-Net,3915761
0.7965882962400263,0.6632205410437151,0.7891968488693237,0.9833454327149824,0.9671575372869318,0.7965878248214722,0.9759369654797695,UNet18,1942577
